,target
499,1
500,1
501,1
502,1
504,1
505,0
506,1
507,1
508,0
509,0
510,1
511,1
512,0
514,0
515,1
516,0
517,1
518,1
519,0
521,0
522,0
523,1
525,1
528,0
529,0
530,1
531,0
532,1
534,1
535,1
536,1
537,1
538,1
540,1
541,0
543,1
544,1
545,0
546,1
547,1
548,0
549,1
550,1
551,1
552,0
553,1
556,1
558,1
559,1
560,0
561,0
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,0
570,0
571,0
572,1
573,1
574,1
575,1
576,0
578,0
579,1
580,0
582,1
583,0
584,1
585,1
586,0
587,1
588,0
589,1
590,1
591,1
592,1
593,1
595,1
596,1
597,0
598,1
599,1
600,1
601,1
602,1
603,0
604,0
605,0
606,1
607,1
608,0
609,1
610,1
611,0
612,1
613,1
614,1
615,1
616,1
617,1
618,0
619,0
620,1
622,1
623,0
624,1
625,1
626,0
627,1
628,1
630,0
631,1
632,0
633,1
634,0
636,1
637,0
638,0
639,1
640,0
641,0
642,0
643,1
644,1
645,0
646,1
647,1
648,1
649,0
650,1
651,0
652,1
653,1
654,0
655,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,0
669,1
671,1
672,1
674,1
675,1
676,0
677,1
678,0
680,1
681,0
682,0
683,1
684,1
685,0
686,0
687,1
689,0
690,1
691,0
692,1
693,0
695,0
696,1
697,1
698,1
699,1
701,1
703,0
704,1
705,0
707,1
708,0
709,0
710,0
711,1
713,1
714,1
716,1
718,0
719,0
720,0
721,1
722,1
724,1
725,1
727,1
728,0
729,0
730,0
731,0
732,1
733,1
735,0
736,1
737,1
738,0
739,1
740,0
741,0
742,1
743,1
744,0
745,1
746,0
747,0
749,1
750,1
751,1
752,1
753,1
754,1
757,1
758,1
760,1
761,1
762,1
764,1
765,1
768,1
769,1
770,1
771,1
772,1
773,1
774,0
775,1
776,1
777,1
779,1
780,0
782,1
783,0
784,1
785,0
786,1
787,1
788,1
789,1
790,1
794,1
795,1
796,1
797,0
798,0
799,1
800,1
801,0
802,1
803,1
804,0
805,1
807,0
808,1
809,1
810,1
811,1
813,1
814,1
815,1
816,0
817,0
818,1
819,0
820,0
821,1
822,1
823,1
824,0
825,1
826,1
827,1
828,1
829,0
830,0
831,1
832,0
833,1
834,0
835,1
836,1
837,1
838,0
839,1
841,0
842,0
843,0
844,0
845,0
846,1
847,1
848,0
849,1
850,0
851,0
852,0
853,0
854,1
855,1
856,0
857,0
858,0
860,0
861,0
862,0
863,0
865,0
867,0
868,1
869,1
870,0
871,1
872,1
875,0
876,1
877,0
878,0
879,1
880,0
881,1
882,0
883,1
884,0
885,0
886,1
887,1
888,1
889,0
890,0
892,1
893,1
894,1
895,1
896,1
897,0
899,0
900,1
901,1
903,1
905,0
906,0
907,1
908,1
909,1
910,1
911,1
912,0
913,1
914,0
916,0
917,0
918,1
919,1
921,0
922,1
923,1
924,1
925,0
926,1
927,0
928,1
929,0
930,1
931,0
932,0
933,1
935,1
936,1
937,1
938,1
939,0
940,1
941,1
943,1
944,0
945,1
946,1
947,1
948,0
950,0
951,0
952,1
953,1
954,0
955,1
956,1
957,0
958,0
959,0
961,1
962,0
963,0
964,0
965,1
966,0
967,1
968,0
970,0
971,1
972,1
973,1
974,0
975,0
976,0
977,0
979,0
980,0
981,1
983,1
984,1
985,0
986,0
988,1
989,0
991,1
992,0
993,0
994,1
995,1
996,1
997,1
998,1
999,0
1000,1
1001,1
1002,1
1003,0
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,0
1013,1
1014,1
1015,1
1016,1
1017,0
1018,0
1019,0
1020,0
1021,1
1022,1
1023,0
1024,0
1025,0
1026,1
1027,0
1028,0
1029,0
1030,1
1031,0
1032,1
1033,1
1037,0
1038,0
1040,1
1041,1
1042,1
1043,0
1044,1
1045,1
1046,0
1047,0
1048,1
1049,1
1050,1
1051,1
1052,0
1053,0
1054,0
1055,1
1056,0
1057,1
1058,0
1061,1
1062,1
1063,1
1064,1
1065,0
1066,1
1069,0
1070,1
1072,0
1073,1
1075,1
1076,0
1077,1
1079,0
1081,0
1082,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
1091,1
1092,0
1093,1
1095,1
1096,1
1097,0
1098,1
1099,0
1100,0
1102,1
1103,0
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,0
1111,1
1112,0
1113,1
1114,0
1115,1
1117,0
1118,0
1119,0
1120,0
1121,0
1122,1
1123,1
1124,1
1125,0
1126,0
1127,0
1128,1
1129,0
1130,1
1131,1
1133,0
1134,0
1135,1
1136,1
1137,0
1138,1
1139,0
1140,1
1141,0
1142,1
1143,0
1144,1
1145,1
1146,0
1147,1
1148,1
1150,0
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,0
1160,0
1161,1
1162,0
1163,1
1164,0
1165,1
1166,1
1167,1
1168,1
1169,0
1170,1
1171,1
1173,1
1174,1
1176,1
1177,0
1179,0
1180,1
1182,0
1184,0
1185,1
1187,1
1188,1
1190,1
1192,1
1193,0
1194,1
1196,1
1197,0
1198,1
1199,1
1200,1
1201,0
1202,1
1203,1
1204,1
1205,1
1206,0
1207,0
1208,1
1209,0
1210,1
1212,1
1213,0
1214,1
1215,1
1216,1
1217,1
1218,1
1219,0
1220,1
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,1
1229,0
1230,1
1231,1
1232,1
1233,1
1234,1
1235,1
1236,0
1237,0
1238,1
1239,1
1240,1
1241,0
1242,0
1243,1
1244,1
1245,1
1246,1
1247,0
1248,0
1249,1
1250,1
1251,1
1252,1
1253,1
1254,0
1255,0
1256,1
1257,1
1258,1
1260,0
1261,0
1262,1
1263,1
1264,1
1265,1
1266,0
1267,0
1268,1
1269,0
1270,0
1271,1
1272,1
1273,0
1276,1
1278,0
1279,1
1280,1
1281,0
1283,0
1284,1
1285,1
1287,1
1288,0
1289,0
1290,1
1291,1
1293,0
1294,0
1295,0
1296,0
1297,0
1298,1
1300,0
1302,1
1303,1
1304,1
1305,1
1306,0
1307,1
1309,1
1310,0
1312,1
1313,0
1314,0
1315,0
1316,1
1318,1
1319,1
1320,0
1321,1
1322,0
1323,1
1324,0
1325,1
1326,0
1327,1
1328,1
1329,1
1330,0
1331,0
1332,0
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,1
1351,1
1352,1
1353,0
1354,0
1355,1
1356,0
1357,1
1358,1
1359,0
1360,1
1361,1
1362,0
1363,0
1364,0
1365,0
1366,0
1367,1
1368,1
1369,0
1373,0
1374,1
1375,1
1376,1
1378,1
1379,0
1380,0
1381,0
1382,0
1383,1
1384,1
1386,0
1387,1
1388,1
1392,1
1393,0
1394,1
1395,0
1396,0
1397,0
1398,1
1399,1
1400,0
1402,1
1403,1
1404,0
1406,0
1407,1
1409,1
1410,0
1411,1
1412,0
1413,0
1414,1
1415,1
1416,1
1417,1
1418,0
1419,1
1420,1
1421,1
1422,1
1423,1
1424,0
1425,0
1426,0
1427,1
1428,1
1429,1
1430,1
1431,1
1432,0
1433,0
1435,1
1437,1
1438,1
1439,0
1440,0
1441,0
1443,0
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,0
1451,0
1452,1
1453,0
1454,1
1455,1
1456,1
1457,1
1458,1
1459,0
1460,1
1461,1
1462,1
1464,1
1465,0
1466,1
1469,0
1470,1
1473,1
1474,0
1475,1
1476,1
1477,1
1478,1
1479,0
1480,0
1481,0
1482,0
1483,1
1485,0
1486,0
1487,1
1488,0
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,0
1498,0
1499,0
1500,1
1501,0
1502,1
1503,0
1506,1
1507,1
1508,0
1510,0
1511,1
1512,1
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1522,1
1523,1
1524,1
1525,0
1526,1
1527,1
1528,1
1530,1
1531,0
1532,1
1533,0
1534,1
1536,1
1537,1
1539,1
1541,1
1542,1
1543,1
1544,1
1545,0
1546,1
1547,1
1548,1
1549,1
1550,1
1551,1
1552,1
1553,1
1554,0
1556,0
1557,1
1559,1
1560,1
1561,1
1562,0
1563,0
1564,1
1565,1
1566,0
1568,0
1569,1
1570,1
1571,0
1573,1
1576,1
1577,1
1578,1
1580,1
1581,1
1582,0
1583,1
1584,1
1586,1
1588,1
1590,0
1591,1
1592,1
1593,1
1594,1
1596,1
1597,0
1598,0
1599,0
1600,1
1601,0
1603,1
1604,1
1605,1
1607,1
1608,0
1609,1
1610,0
1611,1
1612,0
1613,1
1614,1
1615,1
1616,1
1617,1
1618,0
1619,1
1620,0
1621,0
1622,1
1623,0
1624,1
1625,0
1626,1
1627,0
1628,1
1629,1
1630,0
1632,0
1633,0
1634,0
1635,1
1637,0
1638,1
1639,1
1640,0
1641,1
1642,1
1643,1
1644,1
1645,1
1646,1
1647,1
1648,1
1649,0
1650,0
1651,1
1652,0
1653,0
1654,1
1655,1
1656,1
1657,0
1658,1
1659,1
1660,0
1661,1
1662,0
1663,0
1665,1
1666,1
1667,1
1668,1
1669,0
1670,1
1672,0
1674,1
1675,1
1676,1
1677,0
1678,1
1679,0
1680,0
1681,0
1683,1
1684,1
1685,1
1686,1
1687,1
1688,0
1689,0
1690,0
1691,0
1692,1
1693,0
1694,1
1695,1
1696,1
1697,0
1698,0
1699,1
1700,1
1701,1
1702,1
1703,1
1704,1
1706,0
1707,1
1708,1
1709,1
1710,0
1712,1
1713,1
1714,1
1715,1
1716,1
1718,1
1719,0
1721,1
1722,0
1723,0
1724,1
1725,0
1726,1
1727,0
1728,0
1729,0
1730,0
1731,1
1732,0
1733,1
1734,0
1736,0
1737,1
1738,0
1739,1
1740,0
1741,1
1742,1
1743,0
1744,0
1745,1
1746,0
1747,1
1748,1
1750,0
1751,1
1752,1
1753,1
1754,1
1755,0
1756,1
1757,1
1758,0
1759,0
1760,0
1761,1
1762,1
1765,0
1766,1
1767,1
1768,1
1769,1
1770,0
1771,1
1772,1
1773,1
1774,1
1775,0
1777,0
1778,0
1779,1
1780,0
1781,0
1782,1
1784,1
1785,1
1786,1
1787,1
1788,1
1789,0
1790,1
1791,0
1793,1
1794,1
1796,1
1797,1
1798,1
1800,1
1801,0
1802,1
1803,1
1804,1
1806,1
1807,1
1809,1
1810,0
1811,1
1812,1
1813,0
1814,0
1816,1
1817,1
1818,0
1819,0
1821,0
1822,0
1823,0
1824,1
1825,0
1826,0
1827,1
1829,0
1830,1
1831,1
1833,1
1834,1
1835,0
1836,0
1837,0
1838,1
1839,0
1840,0
1842,1
1843,1
1844,0
1845,0
1846,0
1847,1
1848,0
1849,0
1850,1
1851,0
1853,0
1854,0
1855,0
1857,1
1858,1
1859,0
1861,0
1862,1
1863,1
1864,1
1865,0
1866,0
1867,1
1868,0
1869,1
1870,1
1873,1
1874,0
1875,1
1876,1
1877,1
1878,0
1879,0
1881,1
1882,1
1885,1
1886,1
1887,1
1889,1
1890,0
1891,1
1892,1
1893,0
1894,1
1895,1
1897,1
1898,1
1899,1
1901,0
1902,1
1903,0
1904,0
1905,0
1906,0
1907,1
1908,0
1909,1
1911,1
1912,0
1914,1
1915,0
1916,0
1917,0
1918,0
1919,1
1920,1
1921,1
1922,1
1923,1
1924,1
1925,1
1926,1
1928,1
1929,1
1931,1
1932,1
1933,1
1934,1
1935,1
1936,0
1937,0
1938,1
1939,1
1940,0
1941,1
1943,1
1944,1
1946,1
1948,1
1949,1
1950,1
1951,0
1952,0
1953,1
1954,1
1955,1
1957,1
1958,1
1959,1
1960,1
1961,0
1962,0
1963,1
1965,0
1966,1
1967,1
1968,1
1969,0
1970,0
1972,1
1973,1
1974,1
1975,0
1977,1
1978,0
1979,1
1980,1
1981,1
1982,1
1984,0
1985,0
1986,1
1987,1
1988,1
1991,0
1992,1
1993,1
1994,0
1995,1
1996,1
1998,0
1999,1
2000,0
2001,0
2003,1
2004,0
2005,1
2008,0
2010,1
2011,0
2012,1
2013,0
2014,1
2015,0
2017,1
2018,0
2021,1
2022,0
2024,1
2025,0
2026,1
2028,1
2029,0
2030,1
2031,1
2032,0
2033,0
2034,1
2036,1
2037,0
2038,1
2039,1
2040,1
2041,1
2042,0
2043,0
2044,0
2045,0
2046,1
2047,1
2048,0
2049,0
2050,1
2051,0
2052,0
2053,1
2054,0
2056,1
2057,0
2058,0
2059,1
2060,0
2061,0
2063,1
2064,0
2065,1
2066,1
2067,1
2068,0
2070,0
2072,1
2073,1
2074,1
2075,0
2076,1
2077,1
2078,1
2079,1
2080,0
2081,0
2082,0
2083,0
2084,0
2085,1
2086,1
2087,1
2088,1
2089,1
2090,1
2091,1
2092,1
2093,0
2094,0
2095,0
2096,1
2099,0
2100,1
2101,0
2102,0
2104,0
2105,1
2106,1
2107,0
2109,1
2110,0
2111,1
2112,1
2113,1
2114,0
2115,1
2116,0
2117,1
2118,1
2119,0
2120,1
2121,0
2122,1
2123,0
2124,0
2125,1
2126,1
2127,1
2129,1
2131,1
2133,0
2135,1
2136,1
2137,0
2138,0
2139,1
2140,1
2141,1
2142,0
2143,1
2144,0
2145,0
2146,0
2147,0
2148,1
2149,1
2150,1
2151,0
2152,0
2153,1
2154,0
2155,1
2156,1
2157,1
2158,0
2159,1
2160,1
2162,0
2163,1
2164,1
2165,1
2166,0
2167,1
2168,1
2170,1
2171,0
2172,1
2173,1
2174,1
2176,1
2177,1
2178,1
2179,0
2180,1
2181,0
2182,1
2183,1
2184,0
2185,1
2186,0
2187,1
2188,0
2189,0
2190,0
2191,1
2192,1
2193,0
2194,0
2195,1
2196,1
2197,1
2198,1
2199,1
2200,0
2201,1
2203,1
2204,0
2205,1
2206,1
2207,1
2209,0
2210,1
2211,1
2212,1
2213,0
2214,1
2215,1
2216,0
2217,0
2218,0
2219,1
2220,1
2221,1
2222,1
2224,0
2225,0
2226,0
2227,1
2229,1
2230,0
2231,0
2233,0
2234,1
2235,0
2236,1
2237,1
2239,0
2240,1
2241,1
2242,1
2243,1
2244,1
2245,1
2246,0
2248,1
2250,0
2251,1
2252,1
2253,0
2254,1
2255,0
2256,1
2257,0
2259,1
2260,1
2261,1
2262,1
2264,0
2266,1
2267,1
2268,1
2269,1
2271,0
2272,1
2273,1
2274,0
2275,1
2276,0
2278,1
2280,1
2282,1
2283,0
2284,0
2285,0
2286,1
2287,1
2288,0
2289,1
2290,0
2291,0
2292,1
2293,1
2294,1
2295,0
2296,0
2297,0
2299,0
2300,1
2301,1
2302,0
2303,1
2304,1
2305,0
2306,1
2307,1
2309,1
2310,0
2311,1
2312,0
2313,0
2314,0
2315,1
2316,1
2318,1
2319,0
2320,0
2322,1
2324,0
2325,0
2326,1
2327,1
2328,0
2329,1
2330,0
2331,1
2332,0
2333,0
2334,1
2335,0
2336,1
2337,1
2338,1
2339,1
2340,1
2341,1
2342,0
2343,1
2344,0
2345,1
2346,1
2347,0
2348,0
2349,0
2350,1
2351,1
2352,1
2354,1
2355,1
2356,0
2357,0
2358,1
2359,0
2360,0
2361,1
2362,0
2363,1
2364,0
2365,0
2367,1
2368,0
2369,0
2370,1
2371,1
2372,0
2373,0
2374,1
2375,0
2377,1
2378,0
2379,0
2380,1
2383,1
2385,0
2386,1
2387,1
2388,1
2389,1
2390,0
2391,1
2392,1
2393,1
2394,1
2395,1
2396,1
2397,0
2398,1
2399,0
2400,1
2402,1
2405,0
2406,0
2407,1
2408,1
2409,1
2410,1
2411,1
2412,1
2413,0
2414,0
2415,0
2416,1
2417,0
2418,0
2420,1
2421,1
2422,0
2423,1
2424,1
2425,1
2426,0
2427,1
2429,0
2430,0
2432,0
2433,1
2434,1
2435,1
2436,0
2437,1
2439,1
2440,1
2441,1
2443,1
2444,1
2445,0
2446,1
2447,1
2448,1
2449,1
2450,0
2451,1
2452,0
2453,1
2454,0
2456,0
2457,1
2458,0
2459,1
2460,0
2461,1
2462,0
2463,1
2464,0
2465,1
2466,0
2467,0
2468,1
2469,1
2470,0
2471,1
2472,1
2474,1
2476,0
2477,0
2479,1
2480,0
2481,0
2482,1
2483,1
2484,1
2485,1
2486,0
2487,1
2488,0
2489,1
2490,0
2492,1
2493,0
2494,0
2495,1
2497,0
2498,1
2499,0
2500,1
2501,1
2502,0
2503,1
2504,0
2505,0
2506,1
2507,1
2509,0
2511,0
2513,1
2515,0
2516,1
2517,1
2518,1
2520,1
2521,1
2523,1
2524,1
2525,1
2526,1
2527,1
2528,1
2529,1
2530,1
2532,1
2533,1
2534,1
2535,1
2536,1
2537,1
2538,0
2539,1
2540,0
2541,1
2542,1
2544,1
2546,1
2547,1
2549,0
2550,1
2551,1
2552,0
2553,1
2554,0
2555,1
2556,1
2557,0
2558,0
2559,1
2560,0
2562,1
2563,1
2564,1
2565,1
2566,1
2567,0
2568,0
2569,1
2570,1
2572,0
2573,1
2575,0
2576,0
2577,1
2579,1
2580,0
2581,1
2582,1
2583,0
2584,0
2585,1
2586,1
2588,0
2589,1
2590,1
2591,0
2592,1
2593,1
2594,1
2595,1
2596,0
2599,0
2600,0
2601,1
2603,0
2605,0
2607,1
2608,0
2609,1
2610,1
2611,0
2614,0
2615,1
2616,0
2617,0
2618,0
2619,1
2620,1
2621,1
2622,1
2623,1
2624,1
2625,0
2626,1
2627,1
2628,1
2629,0
2630,0
2631,0
2633,1
2634,0
2635,1
2636,0
2638,1
2639,1
2640,1
2641,1
2642,1
2644,0
2645,0
2646,1
2647,1
2648,1
2650,1
2651,0
2652,1
2653,1
2654,0
2655,0
2656,1
2657,1
2658,0
2659,1
2662,1
2663,1
2664,1
2665,1
2666,1
2667,1
2668,1
2670,1
2673,0
2674,1
2675,1
2677,0
2679,1
2680,1
2681,0
2682,0
2683,1
2684,1
2685,1
2687,0
2688,1
2689,0
2690,0
2691,0
2693,1
2694,0
2696,1
2697,1
2698,1
2700,0
2701,1
2702,0
2703,0
2704,1
2705,1
2706,0
2708,1
2709,1
2710,1
2711,0
2712,1
2713,0
2714,1
2715,1
2717,1
2718,1
2719,1
2720,0
2721,1
2722,1
2723,1
2724,0
2725,0
2726,0
2728,0
2729,1
2730,0
2731,1
2733,1
2734,1
2735,0
2736,0
2737,1
2738,1
2739,1
2740,1
2741,0
2742,0
2743,0
2745,0
2746,1
2747,0
2748,0
2751,1
2753,1
2754,1
2755,1
2756,1
2757,1
2758,1
2759,0
2760,1
2762,1
2763,0
2765,0
2766,1
2767,1
2768,1
2769,1
2770,1
2771,1
2772,1
2773,0
2774,1
2775,0
2776,0
2777,1
2778,0
2779,0
2780,1
2781,1
2784,1
2785,1
2786,0
2787,1
2788,1
2789,1
2791,1
2792,0
2793,0
2794,1
2795,0
2796,1
2797,0
2798,1
2800,0
2801,1
2802,1
2803,0
2805,0
2806,0
2807,0
2808,1
2809,0
2810,0
2811,1
2813,1
2815,1
2816,1
2817,1
2818,0
2819,0
2820,0
2821,0
2822,1
2823,1
2824,0
2825,1
2826,0
2828,1
2829,1
2830,1
2831,1
2832,1
2833,0
2834,0
2836,0
2838,1
2839,0
2840,0
2841,0
2842,1
2843,0
2844,1
2845,1
2846,1
2847,1
2849,0
2850,0
2851,0
2852,1
2853,0
2854,1
2855,1
2856,1
2857,1
2858,1
2859,0
2860,0
2861,0
2862,0
2863,0
2864,0
2865,0
2866,1
2867,1
2868,1
2869,1
2871,1
2872,1
2873,1
2874,0
2875,1
2876,1
2877,1
2878,0
2879,1
2880,0
2882,1
2883,0
2885,1
2886,1
2887,0
2888,0
2889,0
2891,1
2892,1
2893,1
2894,0
2895,1
2896,1
2897,1
2899,1
2900,1
2901,0
2902,1
2904,0
2905,1
2906,0
2907,1
2908,1
2909,0
2910,0
2911,1
2912,0
2913,1
2914,0
2915,1
2916,0
2917,0
2919,0
2920,1
2921,0
2922,1
2923,0
2924,0
2925,1
2926,0
2928,0
2929,1
2930,0
2931,1
2932,1
2933,0
2934,0
2935,0
2936,0
2937,1
2938,1
2939,0
2940,0
2941,0
2942,0
2943,1
2945,0
2947,1
2948,1
2950,1
2951,1
2952,0
2953,1
2955,1
2956,1
2957,0
2958,1
2959,0
2961,0
2962,0
2963,1
2964,1
2965,1
2966,1
2967,1
2968,1
2969,1
2970,1
2971,1
2972,0
2973,1
2974,1
2975,0
2976,1
2978,1
2979,1
2980,1
2981,0
2982,0
2983,1
2984,0
2985,0
2986,0
2987,1
2988,1
2989,1
2991,0
2993,1
2994,0
2995,1
2996,0
2997,1
2998,0
2999,1
3001,1
3002,1
3003,1
3004,1
3005,1
3006,1
3007,1
3008,1
3009,1
3010,0
3011,1
3012,0
3013,0
3014,1
3015,1
3016,1
3017,0
3018,1
3019,1
3020,1
3021,1
3022,1
3023,0
3024,0
3025,1
3026,1
3027,1
3028,1
3030,0
3033,0
3035,1
3036,1
3037,1
3038,1
3039,0
3040,1
3041,1
3042,1
3043,1
3044,0
3045,1
3046,1
3047,0
3048,0
3050,1
3051,1
3052,0
3053,1
3054,1
3055,0
3056,0
3057,1
3059,0
3060,1
3063,1
3064,0
3065,1
3066,0
3067,0
3068,0
3069,1
3070,0
3072,1
3073,0
3074,1
3075,0
3076,1
3077,0
3078,1
3079,1
3080,1
3081,1
3082,0
3083,1
3085,1
3086,1
3087,1
3088,1
3091,0
3092,1
3093,0
3094,1
3095,0
3096,0
3097,0
3098,0
3099,1
3100,1
3101,0
3102,0
3103,0
3105,0
3107,0
3109,1
3110,1
3113,1
3115,1
3116,0
3118,0
3119,1
3120,1
3123,1
3124,1
3125,1
3126,1
3127,1
3128,1
3129,0
3130,1
3131,1
3132,1
3133,0
3135,0
3136,1
3137,0
3138,1
3139,1
3140,1
3141,1
3142,1
3143,1
3144,0
3145,1
3147,1
3151,0
3152,1
3153,1
3154,1
3155,0
3156,1
3157,1
3158,1
3159,1
3160,0
3161,0
3162,0
3163,0
3164,1
3165,1
3166,1
3167,0
3168,0
3169,1
3170,1
3171,1
3172,1
3173,1
3174,0
3175,1
3176,1
3177,0
3178,1
3179,1
3181,0
3182,1
3183,1
3184,0
3185,0
3186,1
3187,1
3188,1
3189,1
3190,1
3191,1
3192,1
3193,1
3194,1
3195,0
3196,0
3197,1
3198,1
3199,1
3200,0
3201,0
3202,1
3203,1
3204,1
3205,1
3206,0
3207,0
3208,1
3209,1
3210,0
3211,0
3212,1
3213,1
3214,0
3215,1
3216,0
3217,1
3218,1
3219,1
3221,0
3222,1
3223,1
3224,1
3226,0
3227,1
3228,0
3229,1
3230,0
3231,1
3232,0
3233,1
3234,0
3235,1
3236,0
3237,1
3238,1
3239,1
3241,1
3243,0
3245,1
3246,1
3250,1
3251,0
3253,1
3254,1
3255,1
3256,0
3257,1
3258,0
3261,1
3262,1
3263,1
3264,1
3265,0
3266,0
3267,0
3268,1
3269,1
3271,1
3272,1
3273,1
3274,1
3275,0
3276,1
3277,1
3278,1
3279,1
3280,0
3281,1
3282,1
3283,0
3284,1
3285,0
3286,0
3287,0
3288,0
3289,1
3290,1
3291,0
3292,1
3293,1
3294,1
3296,0
3297,1
3298,1
3299,0
3300,0
3302,1
3303,1
3304,0
3305,1
3306,1
3307,1
3308,1
3310,1
3311,1
3313,1
3314,1
3315,0
3316,0
3317,0
3318,0
3319,1
3321,1
3322,1
3323,1
3324,0
3325,1
3326,1
3327,1
3328,1
3329,1
3330,0
3331,1
3332,1
3334,0
3335,0
3337,1
3338,0
3341,1
3343,1
3344,0
3345,1
3346,1
3347,0
3349,1
3350,0
3351,0
3352,0
3353,1
3354,0
3356,1
3357,1
3358,1
3359,1
3360,1
3361,1
3362,0
3363,1
3364,1
3365,0
3366,0
3367,1
3368,1
3369,0
3371,1
3372,1
3373,1
3374,0
3375,0
3376,1
3377,1
3379,0
3380,1
3381,1
3383,0
3384,1
3385,1
3386,0
3387,1
3389,0
3390,1
3391,1
3393,1
3394,0
3395,1
3396,1
3397,1
3399,1
3400,0
3402,0
3403,1
3404,0
3405,0
3406,0
3407,1
3409,1
3410,0
3411,0
3412,0
3413,1
3414,1
3415,0
3416,0
3417,0
3418,0
3419,0
3420,0
3421,1
3422,0
3425,1
3427,0
3428,0
3429,1
3430,1
3431,0
3432,0
3433,1
3434,0
3435,1
3436,0
3437,1
3438,0
3440,1
3441,0
3442,1
3443,1
3444,1
3445,1
3446,1
3447,0
3448,1
3449,1
3450,1
3451,0
3452,1
3453,1
3454,0
3455,0
3456,0
